Horizon,Year,Month,Month_Name,MAE,R2,Skill,Coverage
6h,2025,1,Jan,1.76,0.969,0.488,95.8
6h,2025,2,Feb,2.09,0.944,0.509,94.9
6h,2025,3,Mar,2.32,0.896,0.465,93.9
6h,2025,4,Apr,3.01,0.765,0.595,94.7
6h,2025,5,May,5.28,0.825,0.742,92.2
6h,2025,6,Jun,5.06,0.811,0.744,95.3
6h,2025,7,Jul,4.19,0.893,0.763,97.0
6h,2025,8,Aug,4.63,0.837,0.762,97.7
6h,2025,9,Sep,5.49,0.667,0.616,92.6
6h,2025,10,Oct,2.99,0.86,0.538,91.8
6h,2025,11,Nov,2.26,0.98,0.465,94.0
6h,2025,12,Dec,2.53,0.983,0.478,95.3
12h,2025,1,Jan,3.71,0.875,0.387,95.2
12h,2025,2,Feb,4.02,0.797,0.441,97.0
12h,2025,3,Mar,3.96,0.714,0.387,95.2
12h,2025,4,Apr,4.18,0.614,0.553,97.8
12h,2025,5,May,7.56,0.68,0.719,87.2
12h,2025,6,Jun,6.49,0.732,0.74,95.4
12h,2025,7,Jul,5.9,0.82,0.733,95.8
12h,2025,8,Aug,5.9,0.806,0.761,95.4
12h,2025,9,Sep,7.26,0.581,0.593,93.3
12h,2025,10,Oct,4.7,0.768,0.475,94.2
12h,2025,11,Nov,4.95,0.902,0.337,95.4
12h,2025,12,Dec,6.32,0.884,0.287,96.5
24h,2025,1,Jan,7.25,0.506,0.261,98.3
24h,2025,2,Feb,7.1,0.297,0.341,98.2
24h,2025,3,Mar,6.11,0.293,0.311,98.7
24h,2025,4,Apr,5.84,0.394,0.115,100.0
24h,2025,5,May,9.3,0.579,0.104,97.7
24h,2025,6,Jun,8.76,0.611,0.057,98.9
24h,2025,7,Jul,7.92,0.678,0.206,98.5
24h,2025,8,Aug,8.46,0.628,0.074,98.9
24h,2025,9,Sep,8.53,0.502,0.111,98.1
24h,2025,10,Oct,8.03,0.408,0.137,97.8
24h,2025,11,Nov,9.24,0.708,0.202,96.9
24h,2025,12,Dec,9.69,0.736,0.321,98.1
48h,2025,1,Jan,11.97,-0.217,0.214,98.0
48h,2025,2,Feb,9.56,-0.092,0.278,99.0
48h,2025,3,Mar,7.77,-0.027,0.288,98.3
48h,2025,4,Apr,7.15,0.186,0.098,100.0
48h,2025,5,May,11.99,0.223,0.025,98.0
48h,2025,6,Jun,11.58,0.373,0.026,100.0
48h,2025,7,Jul,13.1,0.125,0.137,98.0
48h,2025,8,Aug,11.51,0.398,0.078,98.5
48h,2025,9,Sep,11.61,-0.106,0.099,97.1
48h,2025,10,Oct,10.82,-0.07,0.117,98.4
48h,2025,11,Nov,12.14,0.572,0.038,96.4
48h,2025,12,Dec,14.99,0.423,0.138,96.4
