Horizon,Month,Month_Name,MAE,R2,Skill,Coverage
6h,1,Jan,1.77,0.969,0.485,96.8
6h,2,Feb,2.04,0.945,0.52,96.4
6h,3,Mar,2.49,0.875,0.427,96.4
6h,4,Apr,2.98,0.77,0.599,96.2
6h,5,May,5.86,0.775,0.714,89.8
6h,6,Jun,5.27,0.8,0.733,94.6
6h,7,Jul,4.61,0.863,0.739,95.8
6h,8,Aug,5.33,0.798,0.726,95.2
6h,9,Sep,5.31,0.699,0.629,93.2
6h,10,Oct,2.93,0.871,0.548,93.8
6h,11,Nov,2.29,0.98,0.459,95.4
6h,12,Dec,2.39,0.983,0.508,96.9
12h,1,Jan,4.05,0.849,0.33,95.7
12h,2,Feb,4.2,0.763,0.416,95.4
12h,3,Mar,4.11,0.694,0.365,93.5
12h,4,Apr,4.13,0.629,0.558,97.9
12h,5,May,8.83,0.565,0.672,84.5
12h,6,Jun,7.07,0.662,0.717,93.2
12h,7,Jul,6.7,0.741,0.697,93.0
12h,8,Aug,7.2,0.676,0.708,91.8
12h,9,Sep,7.81,0.496,0.562,91.4
12h,10,Oct,4.71,0.774,0.474,93.8
12h,11,Nov,5.15,0.901,0.311,95.0
12h,12,Dec,6.14,0.878,0.307,97.2
24h,1,Jan,7.52,0.463,0.233,97.3
24h,2,Feb,7.39,0.257,0.315,98.2
24h,3,Mar,6.1,0.325,0.312,98.9
24h,4,Apr,5.96,0.377,0.097,100.0
24h,5,May,9.26,0.548,0.108,97.2
24h,6,Jun,8.62,0.604,0.072,98.1
24h,7,Jul,7.8,0.67,0.218,97.4
24h,8,Aug,8.13,0.637,0.109,98.7
24h,9,Sep,8.28,0.503,0.137,97.2
24h,10,Oct,7.49,0.458,0.194,97.6
24h,11,Nov,9.97,0.682,0.139,96.2
24h,12,Dec,10.08,0.727,0.293,97.6
48h,1,Jan,11.56,-0.262,0.241,99.5
48h,2,Feb,9.21,-0.05,0.305,99.7
48h,3,Mar,7.08,0.03,0.352,100.0
48h,4,Apr,6.94,0.179,0.124,100.0
48h,5,May,11.2,0.335,0.089,98.4
48h,6,Jun,11.28,0.418,0.052,100.0
48h,7,Jul,12.21,0.25,0.195,99.7
48h,8,Aug,11.42,0.427,0.085,99.3
48h,9,Sep,11.08,0.029,0.141,98.9
48h,10,Oct,9.39,0.19,0.234,97.8
48h,11,Nov,12.73,0.545,-0.009,97.4
48h,12,Dec,13.37,0.516,0.231,95.4
