trial,best_iter,mae,r2,learning_rate,num_leaves,max_depth,min_child_samples,colsample_bytree,subsample,reg_alpha,reg_lambda,path_smooth,min_split_gain
41,20000,8.4712,0.5847,0.0088720732193607,36,8,31,0.7625320773970782,0.651221585473285,0.017122574757741166,0.0535570829477446,0.7727137010706538,0.22320628935153192
31,20000,8.474,0.5852,0.009208419528992939,38,9,34,0.7449938215249543,0.6602854271572478,0.0315793075670867,0.05607187112002421,0.5642535332540005,0.25554475514413766
22,19999,8.4797,0.5818,0.008761203347884433,31,10,22,0.7844953463799547,0.7121985860082597,0.011711785677498216,0.13639976812488036,0.9389552038754158,0.1972248821194833
23,20000,8.4816,0.5844,0.009247885462522561,39,9,22,0.8260968993108957,0.622461743766099,0.031229612268194904,0.03373019222960489,0.9243038967191513,0.19017867698651178
32,19999,8.4818,0.5846,0.009156958180628918,46,9,33,0.7499094076578878,0.6569155251046225,0.0244880746161791,0.054161393049389536,0.84750723801773,0.24157350188441792
35,20000,8.4829,0.5838,0.00870429477158436,37,8,32,0.748768091453861,0.6586778777699396,0.016622402909139838,0.06006547706018864,0.8120932754157217,0.22025325579611194
44,20000,8.4838,0.5843,0.007920172092806557,44,8,26,0.765488053683258,0.6241435697311964,0.018163132628427756,0.03204943026546437,0.702424806914206,0.2413135788660135
24,20000,8.4878,0.5843,0.009088574248960857,40,9,23,0.8451313782737541,0.6001048449218852,0.03877560570196172,0.010381585503095725,0.9569150773598001,0.19411293506011779
47,20000,8.4881,0.5857,0.007450701571444477,71,9,36,0.5973329060181136,0.6429788296638403,3.8446846115347966,0.4733609035788007,0.745917022188623,0.07655353115268498
17,20000,8.491,0.5804,0.006549741219905226,37,9,29,0.7752847229001597,0.8454741727079378,0.03231299914227476,0.1115095086043183,0.6453731704819493,0.2967591719414292
28,19999,8.493,0.5844,0.008856955700340716,53,10,20,0.7306196676492359,0.6975315142105808,0.052709705556945215,0.010969065282560633,1.002926491846619,0.25615692457320627
45,19999,8.4942,0.5834,0.009934069130039858,36,7,31,0.672364525736424,0.6831300334443338,0.04927872920489313,0.02134180999437891,0.879915853682538,0.2717898181427462
38,19936,8.4977,0.5839,0.014464612748230805,88,8,25,0.8120502797915625,0.6238252281473593,0.014927606482039736,0.2480265205834859,0.7245127003708351,0.22943852482401025
