horizon_h,month,month_name,season,mae,r2,coverage,n
6,1,Jan,winter,1.81,0.967,97.4,744
6,2,Feb,winter,2.03,0.946,96.1,672
6,3,Mar,winter,2.17,0.911,96.1,743
6,4,Apr,winter,2.4,0.88,97.9,720
6,5,May,summer,4.14,0.916,91.5,744
6,6,Jun,summer,3.36,0.936,94.9,720
6,7,Jul,summer,3.27,0.947,95.2,744
6,8,Aug,summer,3.23,0.941,95.4,744
6,9,Sep,summer,3.81,0.896,94.3,720
6,10,Oct,winter,2.55,0.93,95.8,744
6,11,Nov,winter,2.39,0.978,93.5,719
6,12,Dec,winter,2.46,0.983,94.6,744
12,1,Jan,winter,3.7,0.882,96.8,744
12,2,Feb,winter,3.8,0.809,96.0,672
12,3,Mar,winter,3.95,0.718,96.2,743
12,4,Apr,winter,4.02,0.649,98.1,720
12,5,May,summer,8.2,0.657,88.4,744
12,6,Jun,summer,6.3,0.745,94.7,720
12,7,Jul,summer,5.76,0.818,97.0,744
12,8,Aug,summer,6.25,0.765,96.4,744
12,9,Sep,summer,7.19,0.547,95.7,720
12,10,Oct,winter,4.67,0.762,96.2,744
12,11,Nov,winter,4.62,0.922,93.2,719
12,12,Dec,winter,4.88,0.932,94.9,744
24,1,Jan,winter,6.44,0.641,98.5,744
24,2,Feb,winter,6.44,0.461,94.6,672
24,3,Mar,winter,5.47,0.436,96.2,743
24,4,Apr,winter,5.93,0.436,99.9,720
24,5,May,summer,8.16,0.656,96.9,744
24,6,Jun,summer,7.4,0.721,99.2,720
24,7,Jul,summer,6.7,0.781,97.0,744
24,8,Aug,summer,7.07,0.731,99.6,744
24,9,Sep,summer,7.93,0.555,96.7,720
24,10,Oct,winter,7.15,0.547,95.2,744
24,11,Nov,winter,8.13,0.756,93.6,719
24,12,Dec,winter,8.62,0.809,93.3,744
48,1,Jan,winter,7.95,0.403,97.8,744
48,2,Feb,winter,6.17,0.5,97.9,672
48,3,Mar,winter,6.08,0.348,99.9,743
48,4,Apr,winter,6.37,0.32,99.6,720
48,5,May,summer,9.6,0.598,96.8,744
48,6,Jun,summer,8.68,0.692,100.0,720
48,7,Jul,summer,7.64,0.738,98.8,744
48,8,Aug,summer,9.26,0.639,98.8,744
48,9,Sep,summer,9.21,0.327,96.7,720
48,10,Oct,winter,9.22,0.25,96.2,744
48,11,Nov,winter,10.2,0.672,96.2,719
48,12,Dec,winter,10.77,0.688,96.0,744
