Horizon,Month,Month_Name,MAE,R2,Skill,Coverage
6h,1,Jan,1.72,0.971,0.5,98.7
6h,2,Feb,2.04,0.946,0.52,97.6
6h,3,Mar,2.64,0.853,0.392,96.9
6h,4,Apr,2.9,0.761,0.61,97.1
6h,5,May,5.78,0.803,0.718,92.3
6h,6,Jun,5.1,0.816,0.742,94.2
6h,7,Jul,4.48,0.882,0.746,96.6
6h,8,Aug,4.88,0.843,0.749,95.8
6h,9,Sep,5.15,0.75,0.64,94.0
6h,10,Oct,2.89,0.876,0.554,94.5
6h,11,Nov,2.34,0.98,0.448,95.4
6h,12,Dec,2.33,0.985,0.521,97.7
12h,1,Jan,3.9,0.865,0.354,96.1
12h,2,Feb,3.92,0.794,0.454,94.8
12h,3,Mar,4.06,0.707,0.372,93.1
12h,4,Apr,4.14,0.64,0.558,94.9
12h,5,May,7.75,0.686,0.712,87.5
12h,6,Jun,6.65,0.72,0.733,95.8
12h,7,Jul,5.96,0.843,0.731,97.2
12h,8,Aug,6.28,0.796,0.745,95.6
12h,9,Sep,7.46,0.586,0.582,93.6
12h,10,Oct,4.58,0.778,0.488,93.0
12h,11,Nov,4.55,0.925,0.391,94.3
12h,12,Dec,5.14,0.927,0.421,96.0
24h,1,Jan,7.89,0.425,0.195,94.9
24h,2,Feb,6.43,0.466,0.404,92.7
24h,3,Mar,5.73,0.391,0.354,95.7
24h,4,Apr,5.81,0.436,0.12,97.5
24h,5,May,8.07,0.697,0.223,95.6
24h,6,Jun,7.37,0.756,0.206,98.3
24h,7,Jul,7.06,0.809,0.292,95.3
24h,8,Aug,7.58,0.747,0.17,96.9
24h,9,Sep,8.18,0.574,0.148,94.0
24h,10,Oct,7.41,0.538,0.203,91.5
24h,11,Nov,8.68,0.727,0.251,87.3
24h,12,Dec,8.64,0.805,0.394,87.4
48h,1,Jan,9.31,0.213,0.388,93.7
48h,2,Feb,6.12,0.532,0.538,93.6
48h,3,Mar,6.03,0.35,0.448,98.1
48h,4,Apr,7.03,0.202,0.113,99.4
48h,5,May,8.87,0.653,0.279,94.2
48h,6,Jun,9.02,0.655,0.241,99.7
48h,7,Jul,7.51,0.749,0.505,94.4
48h,8,Aug,9.07,0.67,0.273,98.3
48h,9,Sep,8.64,0.444,0.33,95.6
48h,10,Oct,9.38,0.253,0.235,91.4
48h,11,Nov,10.6,0.607,0.16,94.2
48h,12,Dec,10.79,0.707,0.379,91.7
